zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population_2015
17047,STANDARD,0,Loysville,,Andersonburg-Bixler-Cisna Run-Couchtown-Fort Robinson-Ne Madison-Sw Madison,PA,Perry County,America/New_York,717,NA,US,40.38,-77.33,2450
17048,STANDARD,0,Lykens,,Erdman-Loyalton-Specktown,PA,Dauphin County,America/New_York,717,NA,US,40.58,-76.76,3590
17049,STANDARD,0,Mc Alisterville,Mc Alistervle,Bunkertown-Mc Alistervl-Mcalistervle-Swales,PA,Juniata County,America/New_York,717,NA,US,40.65,-77.28,2930
17050,STANDARD,0,Mechanicsburg,Hampden Township-Hampden Twp-Silver Spg Tp-Silver Spring Township,Defense Depot-Goodhope-Hampden Station-Hogestown-Mech-Mechancsbrg-Mechbg-Navy Ships-Navy Sup Dpt-Trindle Sprg-Wertzville,PA,Cumberland County,America/New_York,717,NA,US,40.24,-77.02,37670
17051,STANDARD,0,Mc Veytown,,Atkinsons Mills-Atkinsons Mls-Little Kansas-Mcveytown-Mcveytwn-Ryde,PA,Mifflin County,America/New_York,717,NA,US,40.49,-77.74,3990
17052,STANDARD,0,Mapleton Depot,Mapleton Dep,Bankstown-Barneytown-Birdville-Knightsville,PA,Huntingdon County,America/New_York,814,NA,US,40.37,-77.97,1420
17053,STANDARD,0,Marysville,,,PA,Perry County,America/New_York,717,NA,US,40.33,-76.93,4810
17055,STANDARD,0,Mechanicsburg,Bowmansdale,Andersontown-Brandtsville-Defense Depot-Lisburn-Locust Point-Mech-Mechancsbrg-Mechbg-Mount Allen-Navy Ships-Navy Sup Dpt-Shepherdstown-Upper Allen-Williams Grv-Winding Hill,PA,Cumberland County,America/New_York,717,NA,US,40.21,-77,35360
17057,STANDARD,0,Middletown,,H I A-Hbg Inter Airp-Londonderry-Lower Swatara-Mdt-Middletwn-Midltwn-Royalton-Shope Gardens,PA,Dauphin County,America/New_York,717,NA,US,40.19,-76.7,19090
17058,STANDARD,0,Mifflin,,Doyles Mills-Mccoysville-Nook,PA,Juniata County,America/New_York,717,NA,US,40.51,-77.55,1530
17059,STANDARD,0,Mifflintown,,Arch Rock-Cuba Mills-Denholm-East Salem-Fermanagh-Jericho Mills-Macedonia-Van Wert-Walker-Zooks Dam,PA,Juniata County,America/New_York,717,NA,US,40.57,-77.39,6910
17060,STANDARD,0,Mill Creek,,Mill Crk-Mlcreek,PA,Huntingdon County,America/New_York,814,NA,US,40.43,-77.92,1140
17061,STANDARD,0,Millersburg,,Killinger-Lenkerville-Millersbg-Rife-Upper Paxton,PA,Dauphin County,America/New_York,717,NA,US,40.54,-76.95,6290
17062,STANDARD,0,Millerstown,,Donnally Mill-Eshcol-Knousetown-Reward-Seven Stars,PA,Perry County,America/New_York,717,NA,US,40.55,-77.15,3850
17063,STANDARD,0,Milroy,,Locke Mills-Naginey-Roseann-Siglerville,PA,Mifflin County,America/New_York,717,NA,US,40.71,-77.58,3010
17065,STANDARD,0,Mount Holly Springs,Mt Holly Spgs,Mount Holly Spgs-Mt Holly Springs-Upper Mill,PA,Cumberland County,America/New_York,717,NA,US,40.11,-77.18,3960
17066,STANDARD,0,Mount Union,,Aughwick-Lucy Furnace-Mt Union-Silver Ford,PA,Huntingdon County,America/New_York,814,NA,US,40.38,-77.88,4290
17067,STANDARD,0,Myerstown,,Frystown-Greble-Millardsville-Myerstwn-Reistville,PA,Lebanon County,America/New_York,717,NA,US,40.37,-76.3,14460
17068,STANDARD,0,New Bloomfield,New Bloomfld,Mecks Corner-Paradise Park-Perry Village,PA,Perry County,America/New_York,717,NA,US,40.41,-77.18,3820
17070,STANDARD,0,New Cumberland,New Cumberlnd,Drexel Hills-Fair Acres-Frogtown-Marsh Run-N Cumberld-New Cmbrlnd-New Cumb-New Cumberland Army D-New Market-Newcmbrlnd-Nw Cumb-Nw Cumberland-Nw Cumberlnd-Rudytown-Westfield Ter,PA,Cumberland County,America/New_York,717,NA,US,40.23,-76.87,15560
17073,STANDARD,0,Newmanstown,,Millbach-Millbach Sprs-Sheridan-Stricklerstwn,PA,Lebanon County,America/New_York,717,NA,US,40.35,-76.21,5460
17074,STANDARD,0,Newport,,Bailey-East Newport-Everhartville-Howe-Mannsville-Markelsville-Montgomery Fy-Newprt-Nwprt-Saville-Walnut Grove-Wila,PA,Perry County,America/New_York,717,NA,US,40.47,-77.13,6740
17076,STANDARD,0,Oakland Mills,,,PA,Juniata County,America/New_York,717,NA,US,40.62,-77.31,129
17078,STANDARD,0,Palmyra,,Coffeetown-N Londonderry-Upper Lawn,PA,Lebanon County,America/New_York,717,NA,US,40.3,-76.59,21430
17082,STANDARD,0,Port Royal,,Academia-Beale-Old Port-Pleasantview-Pt Royal-Seven Pines-Spruce Hill-Turbett,PA,Juniata County,America/New_York,717,NA,US,40.53,-77.39,3050
17084,STANDARD,0,Reedsville,,Barrville-Gardenview-Shraders,PA,Mifflin County,America/New_York,717,NA,US,40.68,-77.63,4170
17086,STANDARD,0,Richfield,,Evendale-West Perry,PA,Juniata County,America/New_York,717,NA,US,40.69,-77.12,2160
17087,STANDARD,0,Richland,,,PA,Lebanon County,America/New_York,717,NA,US,40.44,-76.28,2600
17090,STANDARD,0,Shermans Dale,,Shermansdale,PA,Perry County,America/New_York,717,NA,US,40.33,-77.19,4850
17094,STANDARD,0,Thompsontown,,Locust Run-Maze,PA,Juniata County,America/New_York,717,NA,US,40.56,-77.23,2290
17098,STANDARD,0,Williamstown,,Green Fields-Williams,PA,Dauphin County,America/New_York,717,NA,US,40.58,-76.61,2100
17099,STANDARD,0,Yeagertown,,Yeagertwn,PA,Mifflin County,America/New_York,717,NA,US,40.64,-77.58,1070
17101,STANDARD,0,Harrisburg,,Hbg,PA,Dauphin County,America/New_York,717,NA,US,40.26,-76.89,1350
17102,STANDARD,0,Harrisburg,,Hbg-West End,PA,Dauphin County,America/New_York,717,NA,US,40.27,-76.91,6010
17103,STANDARD,0,Harrisburg,Penbrook,Hbg,PA,Dauphin County,America/New_York,717,NA,US,40.27,-76.88,11190
17104,STANDARD,0,Harrisburg,,Hbg,PA,Dauphin County,America/New_York,717,NA,US,40.25,-76.86,17400
17109,STANDARD,0,Harrisburg,Lower Paxton-Penbrook,,PA,Dauphin County,America/New_York,717,NA,US,40.29,-76.82,22480
17110,STANDARD,0,Harrisburg,,,PA,Dauphin County,America/New_York,717,NA,US,40.32,-76.89,23840
17111,STANDARD,0,Harrisburg,Paxtang-Swatara,,PA,Dauphin County,America/New_York,717,NA,US,40.27,-76.79,30910
17112,STANDARD,0,Harrisburg,Linglestown-Lower Paxton-Paxtonia-West Hanover,,PA,Dauphin County,America/New_York,717,NA,US,40.37,-76.78,34120
17113,STANDARD,0,Harrisburg,Bressler-Oberlin-Steelton,,PA,Dauphin County,America/New_York,717,NA,US,40.23,-76.83,10400
17129,STANDARD,0,Harrisburg,,Hbg,PA,Dauphin County,America/New_York,717,NA,US,40.27,-76.88,0
