OBJECTID_1,ZIP,NAME,STATE,COUNTYNAME,TotalPopulation,PercentGenZ,PercentMillenial,PercentGenX,PercentBoomer,PercentSilentGen,MedianHouseholdIncome,PercentHispanic,PercentMinority,PercentBelowPoverty,PercentPopGroupLiving,PlaceNames,Cases_1,LabelY,Shape__Area,Shape__Length,Shape_Length,Shape_Area,OBJECTID
1489,33920,ALVA,,HENDRY,,,,,,,,,,,,,0,0,1499578.98039246,9472.29844441847,9472.29862358932,1499579.00489636,1488
1490,33930,FELDA,,HENDRY,,,,,,,,,,,,,0,0,72976648.2764893,63156.5904023151,63156.5903434617,72976648.0298538,1489
1491,33935,LABELLE,,HENDRY,,,,,,,,,,,,,<5,-2,420610484.693573,120702.506590691,120702.506889868,420610485.008243,1490
1492,33936,LEHIGH ACRES,,HENDRY,,,,,,,,,,,,,0,0,109126220.32431,80848.1733073572,80848.1729378387,109126219.90073,1491
1493,33972,LEHIGH ACRES,,HENDRY,,,,,,,,,,,,,0,0,1108259.62365723,4967.86268696776,4967.86277120695,1108259.56915265,1492
1494,33974,LEHIGH ACRES,,HENDRY,,,,,,,,,,,,,0,0,12654267.903244,17474.8515906428,17474.851532604,12654267.8907505,1493
1495,34141,OCHOPEE,,HENDRY,,,,,,,,,,,,,0,0,129210.083465576,24806.9450408341,24806.9452442863,129210.111489777,1494
1496,34142,IMMOKALEE,,HENDRY,,,,,,,,,,,,,0,0,371081011.979645,168616.791422865,168616.79158253,371081013.156988,1495
1497,34974,OKEECHOBEE,,HENDRY,,,,,,,,,,,,,0,0,18987.9367370605,9025.57681863909,9025.57683538393,18987.8096052992,1496
1498,349MH,,,HENDRY,,,,,,,,,,,,,0,0,44.9029541015625,32.1566141685758,32.1566406779681,44.9028057950372,1497
1499,349MX,,,HENDRY,,,,,,,,,,,,,0,0,126.593109130859,75.6960340874713,75.6959243168732,126.593044481431,1498
1500,32904,MELBOURNE,,INDIAN RIVER,,,,,,,,,,,,,0,0,560319.694702148,34482.5569008841,34482.5570174548,560319.321251467,1499
1501,32909,PALM BAY,,INDIAN RIVER,,,,,,,,,,,,,0,0,6188.89566040039,3107.39763832529,3107.39760948034,6188.92833169522,1500
1502,32948,FELLSMERE,,INDIAN RIVER,,,,,,,,,,,,,<5,-2,204153349.838898,62378.3887995501,62378.3887502896,204153350.089055,1501
1503,32958,SEBASTIAN,,INDIAN RIVER,,,,,,,,,,,,,5 to 9,-1,71701532.7162781,48783.4149140557,48783.4148370974,71701532.5173559,1502
